p1,p2,label1,label2,op
e385830ecacd2d9e.jpg,c335971e8acd609e.jpg,scab,scab,keep1
e8212ddeec024fec.jpg,e8210ddefc024fec.jpg,rust,rust,keep1
a56292dadb618d95.jpg,af6292db1b611d98.jpg,complex,complex,keep1
b80898e11fa17f1f.jpg,b80898e11f81ff1f.jpg,rust,rust,keep1
c738d13e73467988.jpg,c738d13e7146798c.jpg,rust,rust,keep1
f3dc17a2b20d48ec.jpg,90a5341f227ce5f9.jpg,complex,rust,delete
9886c704f93a79b3.jpg,98864714f96a75d5.jpg,scab,scab,keep1
86f963a16e70345e.jpg,9fc321ce60a69f0b.jpg,rust complex,rust,delete
abf0b5819f028f0f.jpg,abf0b5a0df028b17.jpg,scab,scab,keep1
ba99260ef46b18cb.jpg,b7b0edd58a858217.jpg,rust,complex,delete
f6f1160be38a48d5.jpg,f6f11e0fe38a08c5.jpg,rust,rust,keep1
a7e613159fb22859.jpg,b5ec52491e3349ce.jpg,rust complex,rust,delete
e9e8ad35c5871d06.jpg,9ada65c5b0cc9a3c.jpg,complex,rust,delete
f196f11a99d91ce0.jpg,f392f11919991cea.jpg,scab,scab,keep1
e787c35e0f0c34e8.jpg,e586c25e0f1c3c79.jpg,frog_eye_leaf_spot,frog_eye_leaf_spot,keep1
ab91d1a9d4b49a6c.jpg,abb0d5a9d4b4985c.jpg,rust,rust,keep1
e90e1ac8b7e7aa50.jpg,e90e1acab7e5aa50.jpg,rust,rust,keep1
d7ec32d72c84dc18.jpg,9fad869f21b5b240.jpg,rust complex,rust,delete
ca782c131f5ce0fc.jpg,e5f27342ce1cb9a0.jpg,complex,rust,delete
e1e39f8809c7349d.jpg,e9c39fa809c7341d.jpg,rust,rust,keep1
aa542048ebf78bf4.jpg,aa142048eff78bf4.jpg,rust,rust,keep1
d2266ac99461e9db.jpg,c1753cad2f31d492.jpg,rust,rust complex,delete
94c83b2d5fad6924.jpg,90f99ee1c1132bb6.jpg,rust,complex,delete
cc73e005cc36f31e.jpg,cc73e025cc36d31e.jpg,rust,rust,keep1
c1a56069de75b899.jpg,f2c798246a0a9bdd.jpg,complex,rust,delete
e83f715e56462a31.jpg,d0c766bc38e1978c.jpg,complex,rust,delete
8dbeda49894d522e.jpg,afbe5641896d522a.jpg,scab,scab,keep1
dea33c5c0347aa4d.jpg,d3945c098edc9dd1.jpg,rust,complex,delete
bb1891fa8c61e663.jpg,aa0e969518e15d3f.jpg,rust,complex,delete
ab83c05147c3cfe6.jpg,ab83c0d147c3db66.jpg,rust,rust,keep1
e22e8a365cd1ea5c.jpg,e22e9a365cd1ea58.jpg,rust,rust,keep1
f7d233d11aa8496c.jpg,94b42695f24dad36.jpg,complex,rust,delete
ec83c7c04a1e9db9.jpg,85897ea7f064b26a.jpg,complex,rust,delete
dfbdc047068b063d.jpg,cebdc20f67838631.jpg,scab,scab,keep1
ae5074cfc9183763.jpg,965295a64a97859f.jpg,rust,complex,delete
c53b9e87215c6ac5.jpg,c5339e87235c6ac5.jpg,rust,rust,keep1
eec64e8cf1c8d0c6.jpg,e51690d8ad307dcb.jpg,complex,rust,delete
e11be7f110de8f80.jpg,e13be7f1105e8f80.jpg,rust,rust,keep1
a8e895e5aad453a5.jpg,a8e895f5aa54d2a5.jpg,rust,rust,keep1
83e3d2369933c5d2.jpg,83e3d2329933c5f2.jpg,scab,scab,keep1
dfcc6b28063a88fc.jpg,dfc86b180e3ac8f8.jpg,rust,rust,keep1
f4cba4a7294d6585.jpg,d64460a3b19f1cfc.jpg,complex,rust,delete
f0cb879e4a1b35c1.jpg,f0cb859beb1b30c1.jpg,scab,scab,keep1
cdf892b5b4865859.jpg,82ba3e933947b097.jpg,rust complex,rust,delete
dbee22785d9285c4.jpg,c5aff2e545d0a129.jpg,complex,rust,delete
c9d63696629107ed.jpg,8f5263c61a8cdbe2.jpg,rust,complex,delete
8c0731fff680c51e.jpg,df90901ccb664de6.jpg,rust,complex,delete
e7ecc583d571d202.jpg,a3bb604d8a55995d.jpg,complex,rust,delete
e8bd8ac4d982dd83.jpg,e8a58ad4d9829f33.jpg,complex,complex,keep1
f90738a0d2f2c1db.jpg,bd8088cdad5f65e0.jpg,rust,complex,delete
ebd19f1c549a1ad0.jpg,ebd19f9c549a12d0.jpg,rust,rust,keep1
d89c9cda9274322f.jpg,d89d9ede82743229.jpg,rust,rust,keep1
d70f6330fb5a090d.jpg,d70f2230fb5a093d.jpg,rust,rust,keep1
d2d9c2bca7a72458.jpg,d1dec0973c2cf4a1.jpg,rust frog_eye_leaf_spot,rust,delete
848d9f9e82d18e5e.jpg,949b6595a5b8ca3c.jpg,rust,complex,delete
